Candidate,Party,Status,State,Constituency,Age,Gender
ABDUL ALIM,Independent,Accepted,West Bengal ,Manikchak,30,male
SWAPAN DAS,Bahujan Mukti Party,Accepted,West Bengal ,Rashbehari,57,male
Nani Gopal Dawn,Independent,Accepted,West Bengal ,Asansol Uttar,56,male
ALAM MOTTAKIN,Indian National Congress,Accepted,West Bengal ,Manikchak,42,male
PREETAM KUNDU,Independent,Accepted,West Bengal ,Rashbehari,41,male
DEBASHIS NATH,Independent,Accepted,West Bengal ,Rashbehari,39,male
Prabir Dasgupta,Independent,Accepted,West Bengal ,Entally,57,male
RAFIKUL ISLAM,Independent,Accepted,West Bengal ,Hariharpara,32,male
MUSARAT PARVEEN,Independent,Accepted,West Bengal ,Rashbehari,37,female
MD WASIM AKRAM,Hindustani Awam Morcha (Secular),Accepted,West Bengal ,Naoda,26,male
Mirana Sarkar,Independent,Accepted,West Bengal ,Maldaha,40,female
IBANE RASUL (ANGUR MIYA),Bahujan Maha Party,Accepted,West Bengal ,Rampurhat,34,male
MUJIBUR RAHAMAN,Indian Union Muslim League,Accepted,West Bengal ,Rejinagar,43,male
ASISH BANERJEE,All India Trinamool Congress,Accepted,West Bengal ,Rampurhat,69,male
Ashok Das,Independent,Accepted,West Bengal ,Entally,47,male
SEIKH RABIUL ALAM,Bahujan Samaj Party,Accepted,West Bengal ,Bhagabangola,48,male
SAHABUR RAHAMAN  KHA,Independent,Accepted,West Bengal ,Hariharpara,46,male
Md. Nurul Huda,Janata Dal  (United),Accepted,West Bengal ,Entally,28,male
SAHINA MAMTAJ,Independent,Accepted,West Bengal ,Naoda,43,female
HASANUR ZAMAN SK,Hindustani Awam Morcha (Secular),Accepted,West Bengal ,Rejinagar,26,male
Sujit Kumar Moulik,Independent,Accepted,West Bengal ,Maldaha,52,male
AVIJIT GHOSH,Independent,Applied,West Bengal ,Beleghata,43,male
GOLAM FARUQUE,Bahujan Mukti Party,Accepted,West Bengal ,Malatipur,54,male
Goutam Prasad,West Bengal Socialist Party,Accepted,West Bengal ,Entally,51,male
CHINMOY BISWAS,Independent,Accepted,West Bengal ,Shyampukur,30,male
Saleha Tabassum,Independent,Accepted,West Bengal ,Entally,42,female
Manik Mandal,Hindustani Awam Morcha (Secular),Rejected,West Bengal ,Entally,45,male
SANJIBAN HAZRA,Janata Dal  (United),Accepted,West Bengal ,Durgapur Paschim,48,male
MD. KAMRUL HODA,Bahujan Samaj Party,Accepted,West Bengal ,Malatipur,46,male
PRAVEEN KUMAR JAIN,Independent,Accepted,West Bengal ,Shyampukur,45,male
SHIO KUMAR KHATIK,Bahujan Samaj Party,Accepted,West Bengal ,Kashipur-Belgachhia,47,male
MANASH CHOWDHURY,Independent,Applied,West Bengal ,Beleghata,50,male
SHAHAWAZ AFZAL,Independent,Applied,West Bengal ,Beleghata,44,male
SURAJIT GHOSH,Independent,Accepted,West Bengal ,Shyampukur,26,male
SUSOVAN DUTTA,Independent,Applied,West Bengal ,Beleghata,41,male
MD SHAKIL,Independent,Accepted,West Bengal ,Kashipur-Belgachhia,50,male
Nimai Nath,Independent,Accepted,West Bengal ,Maniktola,48,male
SWAPAN BANERJEE,Independent,Accepted,West Bengal ,Durgapur Paschim,67,male
BISWANATH PARIAL,All India Trinamool Congress,Accepted,West Bengal ,Durgapur Paschim,55,male
ANUP KUMAR SINHA,Independent,Accepted,West Bengal ,Farakka,56,male
NEAJUDDIN SK,Indian National Congress,Accepted,West Bengal ,Murshidabad,43,male
AZIZUR RAHAMAN,Independent,Rejected,West Bengal ,Farakka,55,male
Somen Das,Independent,Accepted,West Bengal ,Maniktola,40,male
BELLAL SK,Independent,Accepted,West Bengal ,Murshidabad,34,male
SAIDUR RAHAMAN,Independent,Accepted,West Bengal ,Mothabari,35,male
