,Job_Title,Company,Experience,Salary,Location,Job Domain,Description,Tags,Posting Date,Scraping Date,Link
0,"Accounts Executive,",Visakh Homes Limited,0-2 Yrs,"2,00,000 - 2,50,000 PA.",Chennai,Accounting Jobs,"Job role: He/she should be responsible for :passing entries, maintaining ledger books, maintaining cash books, updating Tally s/w, Verifying bills and Filing and other basic accounting activities.","['Tally', 'accounts executive', 'accountant', 'Accounting']",16 Days Ago,,https://www.naukri.com/job-listings-accounts-executive-visakh-homes-limited-chennai-0-to-2-years-090620004094?src=jobsearchDesk&sid=15930805188655136&xp=1&px=1
1,ICWA  -  Inter,Aurobindo Pharma Ltd,2-7 Yrs,Not disclosed,Hyderabad,Accounting Jobs,"Accounting of costs, accrual for various types of expenses and its accounting and reporting requirements.Good hands on costing experience will be preferred Perform reconciliations and trend analysis on time to ensure that reported financials are correct.Timely month end book closing and accounting.Inter Company invoice booking and reconciliation for seamless consolidation of Financials.Review of Bank reconciliation and open item management.Ensure consistent and accurate application of the organization's fixed asset policy.Timely capitalization and correct application of depreciation.Vendor reconciliation and aging report.Lead the preparation of budgets and cost applications including budget narratives.Review budgets and Actuals.Review and collaborate with Production & Commercial team to collect accurate data for budgeting.Assist decision makers in budgetary assistance, providing guidance and reviewing their budget submissions for accuracy and completion.Conduct cost application review sessions.Ensure accuracy of budget and special conditions.Assist the operations to review, revise, realign budgets and/or cost extensions.Work closely with other functions to develop templates.Provide training's on budgeting, pricing principles and practices.Monitor, evaluate & Investigate variances and resolve issues.Update standard costs then & there required.Validate the cost of goods sold as & when required.Report on break even by products, work centres, and factories.Report on margins by product and division.Deliver as per month end close calendar.Deliver Month-end reporting in line with accounting standards and Group guidelines.Revenue recognition and analytical accounting.Monthly reconciliation to ensure that there is no revenue leakage.","['revenue recognition', 'intercompany', 'icwa inter', 'icwa', 'costing', 'finance', 'budgeting', 'cost accountant']",7 Days Ago,,https://www.naukri.com/job-listings-icwa-inter-aurobindo-pharma-ltd-hyderabad-secunderabad-2-to-7-years-270520004312?src=jobsearchDesk&sid=15930805188655136&xp=2&px=1
2,WNS || Gurgaon - Hiring For Cost Accounting Associates,WNS GLOBAL SERVICES PRIVATE LIMITED,0-2 Yrs,"2,00,000 - 2,50,000 PA.",Gurgaon,Accounting Jobs,None,"['MCOM', 'Bcom', 'Cost Accounting', 'Accounting Entries', 'Communication Skills', 'Costing', 'General Accounting', 'Variance Analysis']",8 Days Ago,,None
3,Chartered Accountant,International Tractors Limited,0-4 Yrs,"2,00,000 - 4,00,000 PA.",Hoshiarpur,Accounting Jobs,None,"['chartered accountant', 'balance sheet', 'accounting', 'direct tax', 'taxation', 'ca']",Today,,None
4,Architect Interior Designer,Milestone consultants.,0-3 Yrs,Not disclosed,Bengaluru(Shanti Nagar),Interior Design Jobs,Required Architects/Interior Designers with a Bachelors degree or Diploma in Arch/ Civil/ Interior design.The following skills are mandatory: 1. Good Knowledge of Auto Cad/ Sketchup/ and rendering on sketchup2. M.S office /Excel. Preparing Bill of quantities/Specifications both for civil and interior works.3. Preparation of Detailed Architectural/Interior Drawings     4. Vendor and Consultant Co-ordination 5. Visiting sites and supervision of work as per drawings 6. Meeting and coordinating with clients ,"['interior designing', 'design', 'architect', 'interior designer', 'architecture']",10 Days Ago,,https://www.naukri.com/job-listings-architect-interior-designer-milestone-consultants-bengaluru-bangalore-0-to-3-years-150620002450?src=jobsearchDesk&sid=15930807069884713&xp=1&px=1
5,Interior Design / Architecture Intern,EcoInch Services,0-1 Yrs,Not disclosed,Noida,Interior Design Jobs,"Qualification and Experience:Bachelor Degree in Architecture or Interior DesignMinimum 5 years Work Experience out of which 2 years should be in Corporate Architecture Interior ProjectsKnowledge of latest Materials and construction technologyFlair for composing cut sheets - material and colour palettesKnowledge of local, national and international furniture vendorsProficiency on working with BIM application (REVIT), AutoCAD, 3DS Max, SketchUp, Adobe Photoshop/InDesign/Illustrator and Microsoft OfficeExcellent written and oral communication and presentation skillsKey Skills Responsibilities:Developing Concept and Schematic Designs based on Client requirementsInteracting with consultants and other related agenciesCoordinate site verification with contractors and sub-contractorsGenerating working drawingsCustomising furniture detailsPreparing B.O.Q. with specifications and costing optionsUsage of 2D, 3D software to create attractive presentation layoutsTravel to Site with potential overnight stays for Site visits","['Architecture', 'Intern', 'Interior designing']",4 Days Ago,,https://www.naukri.com/job-listings-interior-design-architecture-intern-ecoinch-services-noida-0-to-1-years-200620500012?src=jobsearchDesk&sid=15930807069884713&xp=2&px=1
6,Interior Designer Intern,Anusha Shetty Designs,0-1 Yrs,Not disclosed,Bengaluru,Interior Design Jobs,"Job descriptionUnderstanding design requirements from the client/architect and designerunderstanding of Site lay-out/map, proposing our products as per the interior design of the projectSkilled in AutoCAD Designing, Drafting, taking measurements & site Inspection","['Intern', 'Interior Designer Intern', 'Interior Designer']",30+ Days Ago,,https://www.naukri.com/job-listings-interior-designer-intern-anusha-shetty-designs-bengaluru-bangalore-0-to-1-years-070420500902?src=jobsearchDesk&sid=1593080751966236&xp=1&px=2
7,Interior Designer ( Male),INDIGO INTERIOR,3-5 Yrs,Not disclosed,Bengaluru(Whitefield),Interior Design Jobs,"Complete Interior Design and development of kitchens as per cycle plan.Design of customized products to cater to requirements.Product presentations.Knowledge of Autocad, 3dx max /Google sketchupCandidates who are hard-working and want to learn and grow in the modular industry .Good communication skills to communicate with clients.      Required Candidate profileInterior Designer - Knowledge of Auto cad and Google Sketch Up Preferred candidates with 2 Wheeler.       Perks and Benefits Best in Industry","['Communication Skills', 'Design Development', 'architect decorator', 'AutoCAD', 'Google Sketchup', 'interior decorator', 'Interior Designer', 'Interior Designing']",24 Days Ago,,https://www.naukri.com/job-listings-interior-designer-male-indigo-interior-bengaluru-bangalore-3-to-5-years-310520001272?src=jobsearchDesk&sid=1593080751966236&xp=2&px=2
8,Hyderabad-we are Hiring For Banking BPO Process,Aegis Customer Support Services Private Limited.,24 June - 26 June,"1,00,000 - 2,00,000 PA.",Hyderabad(Begumpet),Bank Jobs,"We Are Hiring For Banking  Process 200 people @Hyderabad Designation - Executive operations (CSA)  CSA is required to handle outbound calls for banking process.   Pre- Requisites:Must be an Indian Citizen and resident and should be 18 years of Age.Candidate should be good speaking in Telugu & English, Hindi.Day shift (between 9:am to 8:30 pm)   Eligibility Criteria:-Graduate/Under graduate (any degree)Fresher/Experienced (0-1 yrs)  Job Description:-  1. Must possess V. Good Telgu communication skills, and good English & Hindi skill (No MTI).2. Handling Inbound Customer calls (Domestic process)3. Having Good Computer knowledge4. Must have good typing speed5. Positive attitude and commitment to grow with the organization.6. Should have problem solving attitude.    Salaries: INR 12500/- to 13500/PM + Incentives per month.Job Location & Address:AegisAegis Customer Support Services Private Limited |3rd Floor, Varun Towers II, Begumpet, Hyderabad- 500016, Telangana |  Contact Person - Abdul/DeepthiPh No. - 91+ 8257754079Ph No. - 91+  9392097939Ph.No. - 91+ 9493943792Email: abdulkhader.s@in.aegisglobal.com            bharaththota@in.aegisglobal.com","['BPO', 'Inbound Process', 'Teluguskills', 'domestic bpo', 'call center', 'Inbound', 'Outbound Calling', 'CSA']",3 Days Ago,,https://www.naukri.com/job-listings-hyderabad-we-are-hiring-for-banking-bpo-process-aegis-customer-support-services-private-limited-hyderabad-secunderabad-0-to-2-years-220620001564?src=jobsearchDesk&sid=1593080844145769&xp=1&px=1
9,Indusind Bank - Pioneer Relationship Manager - Affluent Banking,INDUSIND BANK LIMITED,8-13 Yrs,"11,00,000 - 21,00,000 PA.","Bengaluru, Hyderabad",Bank Jobs,"    Pioneer Banking is the premium most banking proposition from IndusInd bank for its most premium client segments. Pioneer will address personal banking, business banking, wealth & insurance needs of its clients. 360 degree coverage of client needs across his personal & business banking/financial needs. Pioneer Wealth Managers will be the singular point of contact with the bank. A partner who understands every clients unique needs and goals and uses his network of specialist to ensure that each is met.Detailed Responsibilities:- Generate new business to achieve defined sales targets- Build and deepen relationships with existing Wealth Customers to achieve increase in share of wallet and revenues.- Provide professional customer service to achieve a high percentage of customer wallet share and satisfaction leading to client retention and growth.- Ensure ongoing self-development.- Manage the portfolio to de-risk against attrition and achieve stability of book.- Manage the key performance indicators at the highest level.- Have complete knowledge of the customer base in terms of the profile, demographics & psychographics and assets in the Bank and in other places.Sales- Achieve the Targets set in terms of product mix.- Achieve best in class productivity in order to maximize the efficacy of the sales process.- Achieve the budgeted cross sell targets.- Aggressive Sales call plans to acquire large prospective customers through referrals.- Ensure coverage of customer base in accordance with the Group approved Relationship Matrix.Integration Management- Manage the customer transition with utmost sensitivity.- Awareness of all the policies and procedures issued in relation to money laundering prevention.- Ensure compliance with these policies and procedures on an ongoing basis.- Any suspicious transaction must immediately be reported to the supervising officer.    Interested candidates to share resume @ shradha.katkam@indusind.comRequired Candidate profile- Prior Experience into Banking - Wealth segment- Maximum Age- 38 years-  ","['Customer Service', 'wealth manager', 'Portfolio Management', 'Cross Selling', 'Finance', 'Calling', 'Personal Banking', 'wealth advisor']",8 Days Ago,,https://www.naukri.com/job-listings-indusind-bank-pioneer-relationship-manager-affluent-banking-indusind-bank-limited-bengaluru-bangalore-hyderabad-secunderabad-8-to-13-years-150520002199?src=jobsearchDesk&sid=1593080844145769&xp=2&px=1
